brand,level,energy_code,energy_name,fuel_grade,launch_date,launch_year,launch_month,launch_season,price_wan,warranty_years,warranty_km_wan,displacement_L,horsepower,engine_type,is_electric,gear_count,trans_type,doors,seats,body_type,body_structure
江汽集团,小型SUV,1,汽油,92,2019-07-19,2019,7,Q3,9.88,3,10.0,1.5,150.0,L4,0,0.0,CVT,5,5,SUV,5门5座SUV
大乘汽车,中型SUV,1,汽油,92,2018-09-28,2018,9,Q3,11.99,4,15.0,2.0,190.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,中型SUV,1,汽油,92,2018-09-28,2018,9,Q3,12.99,4,15.0,2.0,190.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,中型SUV,1,汽油,92,2018-09-28,2018,9,Q3,13.99,4,15.0,2.0,190.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,中型SUV,1,汽油,92,2018-09-28,2018,9,Q3,14.99,4,15.0,2.0,190.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
DS,小型SUV,0,纯电动,0,2021-05-21,2021,5,Q2,31.33,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
DS,小型SUV,0,纯电动,0,2021-09-29,2021,9,Q3,32.33,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
DS,小型SUV,0,纯电动,0,2021-05-21,2021,5,Q2,33.33,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
沃尔沃,紧凑型车,1,汽油,95,2012-09-11,2012,9,Q3,24.99,3,-1.0,2.0,145.0,L4,0,6.0,DCT,3,4,HATCHBACK,3门4座两厢车
宝马,中大型SUV,0,纯电动,0,2023-07-24,2023,7,Q3,74.69,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
宝马,中大型SUV,0,纯电动,0,2023-07-24,2023,7,Q3,84.69,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-04-16,2019,4,Q2,6.99,4,15.0,1.5,163.0,L4,0,6.0,MT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-04-16,2019,4,Q2,7.99,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-09-09,2019,9,Q3,8.49,4,15.0,1.5,163.0,L4,0,6.0,MT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-04-16,2019,4,Q2,8.99,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-09-09,2019,9,Q3,9.49,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-04-16,2019,4,Q2,9.99,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-09-09,2019,9,Q3,10.49,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-09-09,2019,9,Q3,10.69,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-04-16,2019,4,Q2,10.99,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-09-09,2019,9,Q3,11.39,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-04-16,2019,4,Q2,11.99,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,紧凑型SUV,1,汽油,92,2019-09-09,2019,9,Q3,12.19,4,15.0,1.5,163.0,L4,0,8.0,AT,5,5,SUV,5门5座SUV
大乘汽车,微型车,0,纯电动,0,2019-04-17,2019,4,Q2,12.98,,,,,,0,,,3,2,HATCHBACK,3门2座两厢车
一汽,小型SUV,0,纯电动,0,2018-12-18,2018,12,Q4,17.98,3,10.0,,,,0,,,5,5,SUV,5门5座SUV
