
=== 基础统计 ===

--- 品牌Top10 ---
大众,中型MPV,24.68,34.38,29.44,9
极氪,中型MPV,27.99,29.99,28.99,2
本田,中型MPV,23.58,32.88,28.08,9
马自达,中型MPV,21.98,33.9,26.71,4
江汽集团,中型MPV,19.95,25.95,22.95,2
福特,中型MPV,19.48,26.0,22.78,8
大运,中型MPV,17.48,31.88,22.18,28
广汽传祺,中型MPV,17.98,23.88,21.71,3
大通,中型MPV,14.98,25.98,21.61,15
长安欧尚,中型MPV,16.68,16.88,16.78,2
比亚迪,中型MPV,13.59,14.59,14.09,2
北汽道达,中型MPV,12.98,14.98,13.98,3
东风风行,中型MPV,5.99,19.69,11.47,60
金杯,中型MPV,5.09,10.59,7.36,34
斯达泰克,中型SUV,72.88,132.8,106.16,3
玛莎拉蒂,中型SUV,65.08,103.88,81.54,5
LUMMA,中型SUV,69.8,79.8,74.8,2
保时捷,中型SUV,57.8,96.8,71.3,8
克蒂汽车,中型SUV,49.8,85.8,63.8,9
捷豹,中型SUV,47.8,70.88,61.07,6
宝马,中型SUV,31.8,93.99,55.39,17
沃尔沃,中型SUV,39.69,67.69,50.43,14
奔驰,中型SUV,35.18,72.8,48.69,34
路虎,中型SUV,34.68,78.8,48.28,32
英菲尼迪,中型SUV,35.08,60.48,46.3,17
凯迪拉克,中型SUV,23.97,59.8,42.69,12
林肯,中型SUV,30.58,61.88,42.03,19
奥迪,中型SUV,27.98,63.88,41.39,28
讴歌,中型SUV,36.6,45.98,41.23,5
阿尔法·罗密欧,中型SUV,37.7,44.5,41.1,2
雷克萨斯,中型SUV,29.98,50.98,39.87,13
Jeep,中型SUV,23.98,59.99,38.91,31
埃安,中型SUV,28.66,46.96,37.89,4
斯巴鲁,中型SUV,29.98,58.78,36.84,5
蔚来,中型SUV,33.8,37.0,35.4,4
捷尼赛思,中型SUV,28.98,43.98,34.84,11
现代,中型SUV,19.58,80.0,31.96,70
腾势,中型SUV,25.98,35.78,30.72,11
道奇,中型SUV,29.99,29.99,29.99,2
福特,中型SUV,9.88,49.88,29.21,55
特斯拉,中型SUV,26.35,31.35,28.85,3
欧宝,中型SUV,26.6,30.8,28.7,4
三菱,中型SUV,18.2,38.6,28.63,13
双龙,中型SUV,21.98,36.88,28.61,13
方程豹,中型SUV,23.98,32.98,28.54,10
东风,中型SUV,27.98,28.98,28.48,2
合创汽车,中型SUV,25.98,29.98,27.98,2
日产,中型SUV,16.98,55.8,27.87,13
丰田,中型SUV,12.98,54.68,27.43,75
smart,中型SUV,18.99,37.99,27.27,10
本田,中型SUV,19.99,32.98,26.32,16
起亚,中型SUV,21.48,31.38,25.92,24
天际汽车,中型SUV,21.88,28.98,25.52,5
SERES赛力斯,中型SUV,23.68,26.68,25.45,3
极氪,中型SUV,22.98,26.98,24.98,3
威马汽车,中型SUV,18.99,28.88,24.91,11
阿维塔,中型SUV,21.99,28.99,24.81,11
AITO 问界,中型SUV,22.98,24.98,23.98,3
宝沃,中型SUV,16.98,37.88,23.63,27
荣威,中型SUV,14.28,30.88,23.3,11
大众,中型SUV,18.68,27.21,23.12,36
乐道,中型SUV,20.69,25.59,22.75,5
魏牌,中型SUV,17.58,27.98,22.23,19
岚图汽车,中型SUV,19.69,24.29,22.1,7
东风风度,中型SUV,16.98,29.88,21.74,17
斯柯达,中型SUV,19.19,24.39,21.52,10
五十铃,中型SUV,16.68,27.98,21.43,29
爱驰,中型SUV,16.69,24.99,21.01,10
红旗,中型SUV,17.98,24.98,20.91,19
别克,中型SUV,15.99,25.99,20.73,10
雪佛兰,中型SUV,14.99,26.38,20.69,17
领克,中型SUV,17.58,22.88,20.34,5
小鹏,中型SUV,17.68,22.58,19.56,13
标致,中型SUV,17.87,18.97,18.42,2
马自达,中型SUV,11.99,29.08,17.91,20
尚界,中型SUV,15.98,19.98,17.85,6
福田,中型SUV,13.53,36.0,17.66,80
睿蓝汽车,中型SUV,15.99,19.79,17.59,5
大通,中型SUV,11.88,22.98,17.59,15
星途,中型SUV,13.79,28.68,17.54,19
创维汽车,中型SUV,9.88,29.98,17.39,31
广汽传祺,中型SUV,14.68,20.58,17.22,9
ARCFOX极狐,中型SUV,11.38,28.08,16.94,13
长安,中型SUV,11.99,21.59,16.72,20
捷途山海,中型SUV,11.49,24.29,16.71,50
深蓝汽车,中型SUV,15.69,17.49,16.68,9
奔腾,中型SUV,9.98,22.88,16.66,10
比亚迪,中型SUV,7.99,25.98,16.3,82
哈弗,中型SUV,11.79,20.98,16.26,30
奇瑞新能源,中型SUV,12.99,18.38,15.95,14
猎豹汽车,中型SUV,9.98,19.78,15.7,10
长安启源,中型SUV,12.98,17.98,15.67,9
哪吒汽车,中型SUV,12.99,18.29,15.63,10
北京汽车制造厂,中型SUV,14.28,17.28,15.61,3
启辰,中型SUV,11.88,19.99,15.28,19
奇瑞,中型SUV,10.99,20.99,15.26,81
江铃,中型SUV,9.48,20.18,15.1,12
北京汽车,中型SUV,11.99,21.69,14.98,10
零跑汽车,中型SUV,12.28,16.58,14.35,10
中华,中型SUV,12.49,15.99,14.32,13
凯翼,中型SUV,9.89,24.68,14.04,46
奇瑞风云,中型SUV,10.39,19.39,13.87,23
捷途,中型SUV,9.29,18.99,13.72,157
江淮汽车,中型SUV,9.98,19.98,13.52,28
大乘汽车,中型SUV,11.99,14.99,13.49,4
蓝电,中型SUV,9.98,16.88,13.46,34
力帆汽车,中型SUV,10.99,14.99,13.19,5
思皓,中型SUV,10.98,17.98,13.08,20
双环,中型SUV,9.68,15.88,12.98,25
吉利汽车,中型SUV,9.99,15.39,12.62,26
众泰,中型SUV,7.98,16.98,12.41,43
长安欧尚,中型SUV,7.69,15.48,12.21,58
东南,中型SUV,8.69,16.18,12.04,8
捷达,中型SUV,9.79,13.79,12.02,9
东风风光,中型SUV,7.99,16.99,11.96,29
广汽吉奥,中型SUV,5.93,15.18,11.68,41
中兴,中型SUV,8.38,14.83,11.55,16
福迪,中型SUV,6.98,16.38,11.32,8
华泰,中型SUV,10.57,11.77,11.17,2
中国重汽VGV,中型SUV,7.78,15.19,11.09,54
江汽集团,中型SUV,8.98,13.98,11.03,6
长城,中型SUV,9.48,10.98,10.23,2
SWM斯威汽车,中型SUV,5.69,13.99,10.21,23
君马汽车,中型SUV,7.79,12.89,9.7,35
北汽幻速,中型SUV,7.88,11.58,9.58,7
金杯,中型SUV,7.59,12.0,9.28,10
比速汽车,中型SUV,7.29,10.49,8.92,7
黄海,中型SUV,6.98,8.18,7.46,4
五菱汽车,中型SUV,6.01,8.28,7.12,6
宝马,中型车,25.8,108.8,49.25,41
阿尔法·罗密欧,中型车,35.0,89.98,47.36,5
奔驰,中型车,29.99,119.18,47.19,13
奥迪,中型车,25.58,87.48,45.56,55
英菲尼迪,中型车,26.48,75.41,43.97,14
捷豹,中型车,33.46,53.0,43.38,3
沃尔沃,中型车,30.69,60.69,38.55,16
讴歌,中型车,27.98,49.8,37.3,8
欧宝,中型车,32.5,37.5,35.73,3
特斯拉,中型车,23.55,50.99,35.68,8
雷克萨斯,中型车,29.8,41.3,34.25,4
DS,中型车,24.39,40.49,33.21,9
凯迪拉克,中型车,21.97,43.8,31.56,17
腾势,中型车,29.88,32.88,31.38,2
林肯,中型车,23.58,36.98,30.71,18
蔚来,中型车,29.8,31.6,30.51,8
捷尼赛思,中型车,26.18,34.38,30.28,8
奥迪AUDI,中型车,23.59,31.99,27.51,5
雷诺,中型车,19.68,37.18,27.0,5
斯柯达,中型车,17.49,33.48,24.54,9
福特,中型车,14.98,33.78,24.47,23
阿维塔,中型车,20.99,27.99,23.99,8
本田,中型车,17.98,33.58,23.75,19
标致,中型车,15.37,42.53,23.43,14
斯巴鲁,中型车,20.48,24.78,23.35,6
极氪,中型车,20.29,29.99,23.31,17
欧拉,中型车,18.98,27.28,23.28,7
铃木,中型车,18.88,27.48,22.98,6
丰田,中型车,10.98,74.8,22.61,59
大众,中型车,7.68,53.5,21.47,79
威马汽车,中型车,20.51,21.51,21.01,2
雪铁龙,中型车,10.17,40.38,20.76,16
