品牌,基本参数_级别,基本参数_能源类型,基本参数_上市时间,基本参数_车身结构,基本参数_厂商指导价(元),基本参数_整车质保,基本参数_变速箱,基本参数_发动机,车身_车身结构,发动机_燃油标号
马自达,紧凑型SUV,汽油,2024-03-16,5门5座SUV,17.98万,-,6挡手自一体,2.5L 188马力 L4,SUV,92号
马自达,紧凑型SUV,汽油,2023-05-25,5门5座SUV,15.98万,-,6挡手自一体,2.0L 155马力 L4,SUV,92号
马自达,紧凑型SUV,汽油,2023-05-25,5门5座SUV,16.78万,-,6挡手自一体,2.0L 155马力 L4,SUV,92号
马自达,紧凑型SUV,汽油,2023-05-25,5门5座SUV,17.78万,-,6挡手自一体,2.0L 155马力 L4,SUV,92号
马自达,紧凑型SUV,汽油,2023-05-25,5门5座SUV,17.58万,-,6挡手自一体,2.5L 188马力 L4,SUV,92号
马自达,紧凑型SUV,汽油,2023-05-25,5门5座SUV,18.78万,-,6挡手自一体,2.5L 188马力 L4,SUV,92号
马自达,紧凑型SUV,汽油,2023-05-25,5门5座SUV,20.68万,-,6挡手自一体,2.5L 188马力 L4,SUV,92号
马自达,紧凑型SUV,油电混合,2023-11-17,5门5座SUV,19.58万,-,E-CVT无级变速,2.5L 178马力 L4,SUV,92号
马自达,紧凑型SUV,油电混合,2023-11-17,5门5座SUV,20.78万,-,E-CVT无级变速,2.5L 178马力 L4,SUV,92号
马自达,紧凑型SUV,油电混合,2023-11-17,5门5座SUV,22.08万,-,E-CVT无级变速,2.5L 178马力 L4,SUV,92号
马自达,紧凑型SUV,油电混合,2023-11-17,5门5座SUV,23.98万,-,E-CVT无级变速,2.5L 178马力 L4,SUV,92号
凯迪拉克,中大型车,汽油,2025-10-22,4门5座三厢车,36.99万,三年不限公里,10挡手自一体,2.0T 237马力 L4,三厢车,95号
凯迪拉克,中大型车,汽油,2025-10-22,4门5座三厢车,39.99万,三年不限公里,10挡手自一体,2.0T 237马力 L4,三厢车,95号
凯迪拉克,中大型车,汽油,2025-10-22,4门5座三厢车,42.99万,三年不限公里,10挡手自一体,2.0T 237马力 L4,三厢车,95号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,6.99万,五年或10万公里,5挡手动,1.5L 116马力 L4,三厢车,92号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,6.99万,五年或10万公里,5挡手动,1.5L 116马力 L4,三厢车,92号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,7.69万,五年或10万公里,5挡手动,1.5L 116马力 L4,三厢车,92号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,7.69万,五年或10万公里,5挡手动,1.5L 116马力 L4,三厢车,92号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,7.69万,五年或10万公里,6挡手动,1.5T 150马力 L4,三厢车,92号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,7.99万,五年或10万公里,CVT无级变速,1.5L 116马力 L4,三厢车,92号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,8.69万,五年或10万公里,CVT无级变速,1.5L 116马力 L4,三厢车,92号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,8.69万,五年或10万公里,CVT无级变速,1.5T 150马力 L4,三厢车,92号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,9.19万,五年或10万公里,CVT无级变速,1.5T 150马力 L4,三厢车,92号
北京汽车,紧凑型车,汽油,2019-07-18,4门5座三厢车,9.99万,五年或10万公里,CVT无级变速,1.5T 150马力 L4,三厢车,92号
大众,中型车,汽油,2025-10-10,4门5座三厢车,17.49万,三年或10万公里,7挡干式双离合,1.4T 150马力 L4,三厢车,95号
大众,中型车,汽油,2025-10-10,4门5座三厢车,17.69万,三年或10万公里,7挡干式双离合,1.4T 150马力 L4,三厢车,95号
大众,中型车,汽油,2025-11-26,4门5座三厢车,17.99万,三年或10万公里,7挡干式双离合,1.5T 160马力 L4,三厢车,95号
大众,中型车,汽油,2025-11-26,4门5座三厢车,18.99万,三年或10万公里,7挡干式双离合,1.5T 160马力 L4,三厢车,95号
大众,中型车,汽油,2026-04-01,4门5座三厢车,19.49万,三年或10万公里,7挡湿式双离合,2.0T 186马力 L4,三厢车,95号
大众,中型车,汽油,2025-10-10,4门5座三厢车,20.69万,三年或10万公里,7挡湿式双离合,2.0T 220马力 L4,三厢车,95号
大众,中型车,汽油,2025-11-26,4门5座三厢车,20.99万,三年或10万公里,7挡湿式双离合,2.0T 220马力 L4,三厢车,95号
大众,中型车,汽油,2026-03-31,4门5座三厢车,21.63万,三年或10万公里,7挡湿式双离合,2.0T 220马力 L4,三厢车,95号
大众,中型车,汽油,2025-11-26,4门5座三厢车,22.59万,三年或10万公里,7挡湿式双离合,2.0T 220马力 L4,三厢车,95号
大众,中型车,汽油,2025-11-26,4门5座三厢车,24.69万,三年或10万公里,7挡湿式双离合,2.0T 220马力 L4,三厢车,95号
大众,中型车,汽油,2025-05-29,4门5座三厢车,17.69万,三年或10万公里,7挡干式双离合,1.4T 150马力 L4,三厢车,95号
大众,中型车,汽油,2024-10-22,4门5座三厢车,17.49万,三年或10万公里,7挡干式双离合,1.4T 150马力 L4,三厢车,95号
大众,中型车,汽油,2025-05-29,4门5座三厢车,20.69万,三年或10万公里,7挡湿式双离合,2.0T 186马力 L4,三厢车,95号
大众,中型车,汽油,2025-02-25,4门5座三厢车,17.69万,三年或10万公里,7挡干式双离合,1.4T 150马力 L4,三厢车,95号
大众,中型车,汽油,2025-02-25,4门5座三厢车,20.69万,三年或10万公里,7挡湿式双离合,2.0T 186马力 L4,三厢车,95号
大众,中型车,汽油,2025-01-09,4门5座三厢车,17.69万,三年或10万公里,7挡干式双离合,1.4T 150马力 L4,三厢车,95号
大众,中型车,汽油,2024-10-22,4门5座三厢车,20.69万,三年或10万公里,7挡湿式双离合,2.0T 186马力 L4,三厢车,95号
大众,中型车,汽油,2024-07-09,4门5座三厢车,17.99万,三年或10万公里,7挡干式双离合,1.5T 160马力 L4,三厢车,95号
大众,中型车,汽油,2024-07-09,4门5座三厢车,18.99万,三年或10万公里,7挡干式双离合,1.5T 160马力 L4,三厢车,95号
大众,中型车,汽油,2024-07-09,4门5座三厢车,20.99万,三年或10万公里,7挡湿式双离合,2.0T 220马力 L4,三厢车,95号
大众,中型车,汽油,2024-07-09,4门5座三厢车,22.59万,三年或10万公里,7挡湿式双离合,2.0T 220马力 L4,三厢车,95号
大众,中型车,汽油,2024-07-09,4门5座三厢车,24.69万,三年或10万公里,7挡湿式双离合,2.0T 220马力 L4,三厢车,95号
大众,中型SUV,汽油,2024-04-16,5门5座SUV跨界车,23.29万,三年或10万公里,7挡湿式双离合,2.0T 186马力 L4,SUV跨界车,95号
大众,中型SUV,汽油,2022-08-23,5门5座SUV跨界车,24.79万,三年或10万公里,7挡湿式双离合,2.0T 186马力 L4,SUV跨界车,95号
大众,中型SUV,汽油,2023-03-28,5门5座SUV跨界车,26.29万,三年或10万公里,7挡湿式双离合,2.0T 220马力 L4,SUV跨界车,95号
极氪,中大型MPV,纯电动,2024-07-19,5门7座MPV,48.90万,四年或10万公里,,,MPV,
极氪,中大型MPV,纯电动,2024-07-19,5门7座MPV,43.90万,四年或10万公里,,,MPV,
极氪,中大型MPV,纯电动,2024-07-19,5门7座MPV,50.90万,四年或10万公里,,,MPV,
极氪,中大型MPV,纯电动,2024-07-19,5门6座MPV,51.90万,四年或10万公里,,,MPV,
极氪,中大型MPV,纯电动,2024-07-19,5门7座MPV,45.90万,四年或10万公里,,,MPV,
极氪,中大型MPV,纯电动,2024-07-19,5门6座MPV,46.90万,四年或10万公里,,,MPV,
极氪,中大型MPV,纯电动,2024-04-19,5门4座MPV,78.90万,四年或10万公里,,,MPV,
极氪,中大型MPV,纯电动,2025-04-19,5门4座MPV,89.90万,四年或10万公里,,,MPV,
极氪,中大型MPV,纯电动,-,5门7座MPV,-,-,,,MPV,
极氪,中大型MPV,纯电动,-,5门6座MPV,-,-,,,MPV,
极氪,中大型MPV,纯电动,-,5门7座MPV,-,-,,,MPV,
东风风行,紧凑型SUV,增程式,2025-12-22,5门5座SUV,12.99万,八年或16万公里,电动车单速变速箱,1.5L 102马力 L4,SUV,92号
东风风行,紧凑型SUV,纯电动,2023-11-07,5门5座SUV,13.49万,八年或16万公里,电动车单速变速箱,纯电动,SUV,-
东风风行,紧凑型SUV,纯电动,2023-11-09,5门5座SUV,16.49万,八年或16万公里,电动车单速变速箱,纯电动,SUV,-
东风风行,紧凑型SUV,纯电动,2023-03-25,5门5座SUV,13.99万,八年或16万公里,电动车单速变速箱,纯电动,SUV,-
东风风行,紧凑型SUV,纯电动,2023-03-25,5门5座SUV,14.99万,八年或16万公里,电动车单速变速箱,纯电动,SUV,-
东风风行,紧凑型SUV,纯电动,2023-03-25,5门5座SUV,15.99万,八年或16万公里,电动车单速变速箱,纯电动,SUV,-
东风风行,紧凑型SUV,纯电动,2023-03-25,5门5座SUV,18.99万,八年或16万公里,电动车单速变速箱,纯电动,SUV,-
东风风行,紧凑型SUV,纯电动,2023-03-25,5门5座SUV,21.49万,八年或16万公里,电动车单速变速箱,纯电动,SUV,-
东风风行,紧凑型SUV,纯电动,2023-03-25,5门5座SUV,22.99万,八年或16万公里,电动车单速变速箱,纯电动,SUV,-
大通,中大型MPV,汽油,2024-08-30,4门7座MPV,10.80万,三年或6万公里,5挡手动,2.0L 144马力 L4,MPV,92号
大通,中大型MPV,汽油,2024-08-30,5门7座MPV,11.68万,三年或6万公里,5挡手动,2.0L 144马力 L4,MPV,92号
大通,中大型MPV,汽油+CNG,2025-01-09,4门7座MPV,15.48万,三年或6万公里,5挡手动,2.4L 158马力 L4,MPV,92号
大通,中大型MPV,汽油+CNG,2025-01-09,4门9座MPV,15.78万,三年或6万公里,5挡手动,2.4L 158马力 L4,MPV,92号
大通,中大型MPV,柴油,2024-08-30,5门7座MPV,14.38万,三年或6万公里,6挡手动,2.0T 163马力 L4,MPV,0号
大通,中大型MPV,柴油,2024-08-30,5门9座MPV,14.68万,三年或6万公里,6挡手动,2.0T 163马力 L4,MPV,0号
大通,中大型MPV,柴油,2024-08-30,5门7座MPV,18.98万,三年或6万公里,8挡自动,2.0T 163马力 L4,MPV,0号
大通,中大型MPV,汽油,2025-05-12,5门7座MPV,16.88万,三年或6万公里,8挡自动,2.0T 261马力 L4,MPV,92号
大通,中大型MPV,汽油,2025-05-12,5门9座MPV,16.88万,三年或6万公里,8挡自动,2.0T 261马力 L4,MPV,92号
大通,中大型MPV,汽油,2025-05-12,5门7座MPV,17.88万,三年或6万公里,8挡自动,2.0T 261马力 L4,MPV,92号
大通,中大型MPV,汽油,2024-08-30,5门7座MPV,18.98万,三年或6万公里,8挡自动,2.0T 261马力 L4,MPV,92号
大通,中大型MPV,汽油,2025-08-28,5门7座MPV,20.18万,三年或6万公里,8挡自动,2.0T 261马力 L4,MPV,92号
福特,中大型SUV,汽油,2025-06-07,5门5座SUV,30.98万,三年或10万公里,10挡自动,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2025-11-06,5门5座SUV,36.98万,三年或10万公里,10挡手自一体,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门6座SUV,30.98万,三年或10万公里,10挡自动,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门7座SUV,30.98万,三年或10万公里,10挡自动,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门6座SUV,32.98万,三年或10万公里,10挡自动,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门7座SUV,32.98万,三年或10万公里,10挡自动,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门6座SUV,35.98万,三年或10万公里,10挡自动,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门7座SUV,35.98万,三年或10万公里,10挡自动,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门6座SUV,37.98万,三年或10万公里,10挡手自一体,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门7座SUV,37.98万,三年或10万公里,10挡手自一体,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门6座SUV,38.98万,三年或10万公里,10挡自动,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门6座SUV,39.98万,三年或10万公里,10挡手自一体,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,汽油,2024-09-13,5门7座SUV,39.98万,三年或10万公里,10挡手自一体,2.3T 289马力 L4,SUV,92号
福特,中大型SUV,-,-,5门5座SUV,-,-,10挡自动,-,SUV,-
福特,中大型SUV,-,-,5门6座SUV,-,-,10挡自动,-,SUV,-
江淮钇为,紧凑型车,纯电动,2025-03-11,5门5座掀背车,18.99万,-,,,掀背车,
江淮钇为,紧凑型车,纯电动,2024-03-15,5门5座掀背车,15.29万,-,,,掀背车,
江淮钇为,紧凑型车,纯电动,2024-06-21,5门5座掀背车,17.69万,-,,,掀背车,
江淮钇为,紧凑型车,纯电动,2024-03-15,5门5座掀背车,18.09万,-,,,掀背车,
江淮钇为,紧凑型车,纯电动,2024-03-15,5门5座掀背车,18.99万,-,,,掀背车,
日产,小型SUV,汽油,2023-07-15,5门5座SUV,8.98万,三年或10万公里,CVT无级变速(模拟6挡),1.5L 122马力 L4,SUV,92号
日产,小型SUV,汽油,2023-07-15,5门5座SUV,9.98万,三年或10万公里,CVT无级变速(模拟6挡),1.5L 122马力 L4,SUV,92号
日产,小型SUV,汽油,2023-07-15,5门5座SUV,10.38万,三年或10万公里,CVT无级变速(模拟6挡),1.5L 122马力 L4,SUV,92号
比亚迪,紧凑型车,纯电动,2024-03-13,5门5座两厢车,8.98万,六年或15万公里,,,两厢车,
比亚迪,紧凑型车,纯电动,2024-03-13,5门5座两厢车,9.68万,六年或15万公里,,,两厢车,
比亚迪,紧凑型车,纯电动,2023-04-06,5门5座两厢车,14.78万,-,,,两厢车,
红旗,大型SUV,纯电动,2024-09-02,5门7座SUV,58.98万,四年或10万公里,,,SUV,
红旗,大型SUV,纯电动,2024-09-02,5门6座SUV,61.98万,四年或10万公里,,,SUV,
红旗,大型SUV,纯电动,2024-09-02,5门6座SUV,68.98万,四年或10万公里,,,SUV,
红旗,大型SUV,纯电动,2024-09-02,5门4座SUV,77.98万,四年或10万公里,,,SUV,
红旗,大型SUV,纯电动,2024-03-07,5门7座SUV,58.98万,四年或10万公里,,,SUV,
红旗,大型SUV,纯电动,2024-03-07,5门6座SUV,61.98万,四年或10万公里,,,SUV,
红旗,大型SUV,纯电动,2024-03-07,5门6座SUV,68.98万,四年或10万公里,,,SUV,
红旗,大型SUV,纯电动,2024-03-07,5门4座SUV,77.98万,四年或10万公里,,,SUV,
欧拉,中型车,纯电动,2023-10-31,4门5座三厢车,20.88万,五年或15万公里,,,三厢车,
欧拉,中型车,纯电动,2023-10-31,4门5座三厢车,24.48万,五年或15万公里,,,三厢车,
欧拉,中型车,纯电动,2023-10-31,4门5座三厢车,27.28万,五年或15万公里,,,三厢车,
欧拉,中型车,纯电动,2022-10-31,4门5座三厢车,18.98万,五年或15万公里,,,三厢车,
欧拉,中型车,纯电动,2022-10-31,4门5座三厢车,20.38万,五年或15万公里,,,三厢车,
欧拉,中型车,纯电动,2022-10-31,4门5座三厢车,23.98万,五年或15万公里,,,三厢车,
欧拉,中型车,纯电动,2022-10-31,4门5座三厢车,26.98万,五年或15万公里,,,三厢车,
比亚迪,小型车,纯电动,2025-02-10,5门5座两厢车,9.98万,六年或15万公里,,,两厢车,
比亚迪,小型车,纯电动,2025-02-10,5门5座两厢车,10.98万,六年或15万公里,,,两厢车,
比亚迪,小型车,纯电动,2025-02-10,5门5座两厢车,12.58万,六年或15万公里,,,两厢车,
比亚迪,小型车,纯电动,2024-07-08,5门5座两厢车,9.98万,六年或15万公里,,,两厢车,
比亚迪,小型车,纯电动,2024-07-08,5门5座两厢车,10.68万,六年或15万公里,,,两厢车,
比亚迪,小型车,纯电动,2024-07-08,5门5座两厢车,11.38万,六年或15万公里,,,两厢车,
比亚迪,小型车,纯电动,2024-07-08,5门5座两厢车,12.98万,六年或15万公里,,,两厢车,
比亚迪,小型车,纯电动,-,5门5座两厢车,-,-,,,两厢车,
启辰,紧凑型SUV,汽油,2025-07-01,5门5座SUV,9.98万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2025-07-01,5门5座SUV,10.98万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2025-07-01,5门5座SUV,11.18万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2025-07-01,5门5座SUV,11.98万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2025-07-01,5门5座SUV,12.88万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2024-03-21,5门5座SUV,10.48万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2023-09-08,5门5座SUV,9.98万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2022-11-08,5门5座SUV,10.98万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2022-11-08,5门5座SUV,11.18万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2022-11-08,5门5座SUV,11.98万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2022-11-08,5门5座SUV,12.88万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
极氪,紧凑型SUV,纯电动,2025-11-05,5门5座SUV,15.58万,四年或10万公里,,,SUV,
极氪,紧凑型SUV,纯电动,2025-11-05,5门4座SUV,15.98万,四年或10万公里,,,SUV,
极氪,紧凑型SUV,纯电动,2025-11-05,5门5座SUV,17.58万,四年或10万公里,,,SUV,
智己汽车,中大型SUV,增程式,2025-09-10,5门5座SUV,22.99万,五年或15万公里,电动车单速变速箱,增程器 155马力,SUV,92号
智己汽车,中大型SUV,增程式,2025-10-16,5门5座SUV,24.49万,五年或15万公里,电动车单速变速箱,增程器 155马力,SUV,92号
智己汽车,中大型SUV,增程式,2025-09-10,5门5座SUV,24.49万,五年或15万公里,电动车单速变速箱,增程器 155马力,SUV,92号
智己汽车,中大型SUV,增程式,2025-09-10,5门5座SUV,26.49万,五年或15万公里,电动车单速变速箱,增程器 155马力,SUV,92号
智己汽车,中大型SUV,纯电动,2025-09-10,5门5座SUV,21.29万,五年或15万公里,电动车单速变速箱,-,SUV,-
智己汽车,中大型SUV,纯电动,2025-09-10,5门5座SUV,22.49万,五年或15万公里,电动车单速变速箱,-,SUV,-
智己汽车,中大型SUV,纯电动,2025-09-10,5门5座SUV,24.49万,五年或15万公里,电动车单速变速箱,-,SUV,-
智己汽车,中大型SUV,纯电动,2025-09-10,5门5座SUV,24.49万,五年或15万公里,电动车单速变速箱,-,SUV,-
智己汽车,中大型SUV,纯电动,2025-09-10,5门5座SUV,28.49万,五年或15万公里,电动车单速变速箱,-,SUV,-
本田,紧凑型车,油电混合,2025-03-20,4门5座三厢车,13.99万,三年或10万公里,E-CVT无级变速,2.0L 143马力 L4,三厢车,92号
本田,紧凑型车,油电混合,2025-03-20,4门5座三厢车,15.29万,三年或10万公里,E-CVT无级变速,2.0L 143马力 L4,三厢车,92号
本田,紧凑型车,油电混合,2025-03-20,5门5座两厢车,17.09万,三年或10万公里,E-CVT无级变速,2.0L 143马力 L4,两厢车,92号
本田,紧凑型车,汽油,2025-03-20,4门5座三厢车,12.99万,三年或10万公里,6挡手动,1.5T 182马力 L4,三厢车,92号
本田,紧凑型车,汽油,2025-03-20,4门5座三厢车,13.99万,三年或10万公里,CVT无级变速,1.5T 182马力 L4,三厢车,92号
本田,紧凑型车,汽油,2025-03-20,5门5座两厢车,13.99万,三年或10万公里,6挡手动,1.5T 182马力 L4,两厢车,92号
本田,紧凑型车,汽油,2025-03-20,5门5座两厢车,16.19万,三年或10万公里,6挡手动,1.5T 182马力 L4,两厢车,92号
iCAR,紧凑型SUV,纯电动,2024-02-28,5门5座SUV,10.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-02-28,5门5座SUV,11.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-07-01,5门5座SUV,11.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-02-28,5门5座SUV,12.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-07-10,5门5座SUV,12.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-02-28,5门5座SUV,13.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-07-10,5门5座SUV,13.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-07-10,5门5座SUV,14.48万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-07-01,5门5座SUV,14.58万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-06-12,5门5座SUV,14.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-07-10,5门5座SUV,14.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-02-28,5门5座SUV,15.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-06-12,5门5座SUV,15.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-08-30,5门5座SUV,15.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2025-03-11,5门5座SUV,15.98万,四年或12万公里,,,SUV,
iCAR,紧凑型SUV,纯电动,2024-02-28,5门5座SUV,16.98万,四年或12万公里,,,SUV,
捷途,紧凑型SUV,汽油,2025-10-31,5门5座SUV,6.99万,-,6挡手动,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-10-31,5门5座SUV,7.99万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-10-31,5门5座SUV,8.39万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2026-04-13,5门5座SUV,8.79万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-07-18,5门5座SUV,10.99万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-07-18,5门5座SUV,11.69万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-07-30,5门5座SUV,12.59万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-07-18,5门5座SUV,12.79万,-,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2024-09-02,5门5座SUV,10.99万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2024-09-02,5门5座SUV,11.69万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2024-09-02,5门5座SUV,12.49万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2024-09-02,5门5座SUV,12.39万,-,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2024-09-02,5门5座SUV,12.99万,-,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-01-24,5门5座SUV,9.39万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-01-07,5门5座SUV,10.99万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2024-04-03,5门5座SUV,13.68万,-,6挡湿式双离合,1.5T 156马力 L4,SUV,92号
荣威,紧凑型车,纯电动,2025-04-23,4门5座三厢车,9.98万,六年或15万公里,,,三厢车,
荣威,紧凑型车,纯电动,2025-04-23,4门5座三厢车,10.98万,六年或15万公里,,,三厢车,
荣威,紧凑型车,纯电动,2025-04-23,4门5座三厢车,11.48万,六年或15万公里,,,三厢车,
荣威,紧凑型车,纯电动,2025-04-23,4门5座三厢车,11.98万,六年或15万公里,,,三厢车,
荣威,紧凑型车,纯电动,2025-04-23,4门5座三厢车,12.48万,六年或15万公里,,,三厢车,
荣威,紧凑型车,纯电动,2025-04-23,4门5座三厢车,13.98万,六年或15万公里,,,三厢车,
大通,紧凑型MPV,汽油,2026-04-01,5门7座MPV,9.98万,三年或6万公里,7挡湿式双离合,1.5T 181马力 L4,MPV,92号
大通,紧凑型MPV,汽油,2025-02-26,5门7座MPV,12.98万,-,7挡湿式双离合,1.5T 181马力 L4,MPV,92号
大通,紧凑型MPV,汽油,2024-10-25,5门7座MPV,8.68万,三年或6万公里,6挡手动,1.5T 181马力 L4,MPV,92号
深蓝汽车,中大型SUV,增程式,2026-03-25,5门5座SUV,18.59万,三年或12万公里,电动车单速变速箱,增程器 150马力,SUV,92号
深蓝汽车,中大型SUV,增程式,2025-04-18,5门5座SUV,19.99万,三年或12万公里,电动车单速变速箱,增程器 150马力,SUV,92号
深蓝汽车,中大型SUV,增程式,2025-04-18,5门5座SUV,22.99万,三年或12万公里,电动车单速变速箱,增程器 150马力,SUV,92号
启辰,紧凑型SUV,汽油,2026-03-10,5门5座SUV,12.66万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2026-03-10,5门5座SUV,13.36万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
启辰,紧凑型SUV,汽油,2026-03-10,5门5座SUV,14.96万,三年或10万公里,7挡湿式双离合,1.5T 190马力 L4,SUV,92号
小鹏,中型SUV,增程式,2026-03-06,5门5座SUV,18.68万,五年或12万公里,电动车单速变速箱,增程器 150马力,SUV,92号
小鹏,中型SUV,纯电动,2026-01-08,5门5座SUV,17.68万,五年或12万公里,电动车单速变速箱,-,SUV,-
小鹏,中型SUV,纯电动,2026-01-08,5门5座SUV,18.68万,五年或12万公里,电动车单速变速箱,-,SUV,-
小鹏,中型SUV,纯电动,2025-03-13,5门5座SUV,17.68万,五年或12万公里,电动车单速变速箱,-,SUV,-
小鹏,中型SUV,纯电动,2025-03-13,5门5座SUV,18.68万,五年或12万公里,电动车单速变速箱,-,SUV,-
小鹏,中型SUV,纯电动,2025-03-13,5门5座SUV,19.88万,五年或12万公里,电动车单速变速箱,-,SUV,-
东风奕派,中大型SUV,增程式,2025-10-16,5门5座SUV,16.99万,三年或10万公里,电动车单速变速箱,1.5T 147马力 L4,SUV,92号
东风奕派,中大型SUV,增程式,2025-10-16,5门5座SUV,17.66万,三年或10万公里,电动车单速变速箱,1.5T 147马力 L4,SUV,92号
东风奕派,中大型SUV,增程式,2025-08-01,5门6座SUV,18.86万,三年或10万公里,电动车单速变速箱,1.5T 147马力 L4,SUV,92号
东风奕派,中大型SUV,增程式,2025-08-01,5门6座SUV,19.86万,三年或10万公里,电动车单速变速箱,1.5T 147马力 L4,SUV,92号
东风奕派,中大型SUV,纯电动,2025-10-16,5门5座SUV,17.49万,三年或10万公里,电动车单速变速箱,-,SUV,-
